
### 2025款 纽北限量版  (specid=70554, 指导价=81.49万, status=40)
车型名称	小米SU7 Ultra 2025款 纽北限量版
厂商指导价(元)	81.49万
经销商报价	暂无报价
厂商	小米汽车
级别	中大型车
能源类型	纯电动
上市时间	2025-02-27
CLTC纯电续航里程(km)	520
电池快充时间(小时)	0.183
电池快充电量范围(%)	10-80
最大功率(kW)	1138
最大扭矩(N·m)	1770
车身结构	三厢车
电动机(Ps)	1548
长*宽*高(mm)	5115*1970*1465
官方0-100km/h加速(s)	1.98
官方100-0km/h制动(m)	30.8
最高车速(km/h)	350
电能当量燃料消耗量(L/100km)	2.25
整备质量(kg)	2330
最大满载质量(kg)	2810
长度(mm)	5115
宽度(mm)	1970
高度(mm)	1465
轴距(mm)	3000
前轮距(mm)	1672
后轮距(mm)	1649
接近角(°)	12
离去角(°)	15
最小转弯半径(m)	5.85
车门开启方式	平开门
后备厢容积(L)	454
前电动机品牌	汇川联合
后电动机品牌	小米汽车
前电动机型号	TZ220XY108
后电动机型号	TZ230XY001
电机类型	永磁/同步
电动机总功率(kW)	1138
电动机总马力(Ps)	1548
电动机总扭矩(N·m)	1770
前电动机最大功率(kW)	288
前电动机最大扭矩(N·m)	500
后电动机最大功率(kW)	850
后电动机最大扭矩(N·m)	1270
驱动电机数	三电机
电机布局	前置+后置
电池特有技术	麒麟II
电池冷却方式	液冷
电池能量(kWh)	93.7
百公里耗电量(kWh/100km)	19.4
快充功能	支持
快充功率(kW)	480
高压快充	支持
高压平台（V）	800
充电桩价格（元）	3999
慢充接口位置	车左后侧
快充接口位置	车左后侧
对外交流放电功率(kW)	3.5
对外直流放电功率(kW)	6.6
简称	电动车单速变速箱
挡位个数	1
变速箱类型	固定齿比变速箱
车体结构	承载式
主/副驾驶座安全气囊	主●/副●
被动行人保护	●
ABS防抱死	●
制动力分配(EBD/CBC等)	●
刹车辅助(EBA/BAS/BA等)	●
牵引力控制(ASR/TCS/TRC等)	●
车身稳定控制(ESC/ESP/DSC等)	●
ISOFIX儿童座椅接口	●
车道偏离预警系统	●
主动刹车/主动安全系统	●
疲劳驾驶提示	●
DOW开门预警	●
前方碰撞预警	●
后方碰撞预警	●
哨兵模式/千里眼	●
低速行车警告	●
内置行车记录仪	●
道路救援呼叫	●
能量回收系统	●
自动驻车	●
上坡辅助	●
前/后驻车雷达	前●/后●
透明底盘/540度影像	●
倒车车侧预警系统	●
卫星导航系统	●
导航路况信息显示	●
并线辅助	●
车道保持辅助系统	●
车道居中保持	●
道路交通标识识别	●
辅助泊车入位	●
遥控泊车	●
记忆泊车	○
辅助变道	●
辅助匝道自动驶出(入)	○
信号灯识别	○
方向盘离手检测	●
起步提醒	●
无框设计车门	●
电动前备厢	●
电动后备厢	●
电动后备厢位置记忆	●
车内中控锁	●
无钥匙启动系统	●
主动闭合式进气格栅	●
电池预加热	●
对外放电	●
LED日间行车灯	●
自适应远近光	●
自动头灯	●
转向辅助灯	●
大灯高度可调	●
大灯延时关闭	●
前/后电动车窗	前●/后●
车窗防夹手功能	●
后排侧隐私玻璃	●
蓝牙/车载电话	●
语音免唤醒词	●
语音连续识别	●
可见即可说	●
声纹识别	●
应用商店	●
车联网	●
OTA升级	●
Wi-Fi热点	●
模拟声浪	●
车载KTV	●
多功能方向盘	●
方向盘加热	●
方向盘记忆	●
全液晶仪表盘	●
行李厢12V电源接口	●
运动风格座椅	●
杜比全景声(Dolby Atmos)	●
热泵空调	●
后座出风口	●
温度分区控制	●
车载空气净化器	●
车内PM2.5过滤装置	●
空气质量监测	●
